,ds,stolen_data_changed_index,average-%-error,Sign
0,none-changed,none,-8.029707214816435,Negative
1,1961-01-01,0,6.891083482746971,Negative
2,1961-02-01,1,2.0533127191283334,Negative
3,1961-03-01,2,1.7979250638185995,Negative
4,1961-04-01,3,2.0562618713234833,Negative
5,1961-05-01,4,2.5700686464566744,Negative
6,1961-06-01,5,3.274877799781846,Negative
7,1961-07-01,6,2.0816871519769786,Negative
8,1961-08-01,7,2.5943755367993204,Negative
9,1961-09-01,8,2.3590852670825293,Negative
10,1961-10-01,9,3.064966946463592,Negative
11,1961-11-01,10,3.4212897762518186,Negative
12,1961-12-01,11,6.518448685411221,Negative
13,1962-01-01,12,0.9097036309986187,Negative
14,1962-02-01,13,0.9683187625060367,Negative
15,1962-03-01,14,3.07344533311413,Negative
16,1962-04-01,15,2.1885925892055673,Negative
17,1962-05-01,16,2.440794135334764,Negative
18,1962-06-01,17,3.3219232228064928,Negative
19,1962-07-01,18,3.6283412133831607,Negative
20,1962-08-01,19,3.0377772298204633,Negative
21,1962-09-01,20,2.6038232436341433,Negative
22,1962-10-01,21,1.3155917648939288,Negative
23,1962-11-01,22,7.072790710566767,Negative
24,1962-12-01,23,1.713034956210155,Negative
25,1963-01-01,24,2.90494838092718,Negative
26,1963-02-01,25,3.3437858272092673,Negative
27,1963-03-01,26,2.2969813507527737,Negative
28,1963-04-01,27,8.65373809489502,Negative
29,1963-05-01,28,4.291481048240089,Negative
30,1963-06-01,29,2.9706441575269964,Negative
31,1963-07-01,30,3.215549503250901,Negative
32,1963-08-01,31,2.169587310834293,Negative
33,1963-09-01,32,2.20765865028645,Negative
34,1963-10-01,33,2.914653709555335,Negative
35,1963-11-01,34,2.39523893668783,Negative
36,1963-12-01,35,3.4467042240694337,Negative
37,1964-01-01,36,5.213340067576216,Negative
38,1964-02-01,37,5.477860538787707,Negative
39,1964-03-01,38,0.7424723686256026,Negative
40,1964-04-01,39,5.816968109377193,Negative
41,1964-05-01,40,1.9498669909162585,Negative
42,1964-06-01,41,1.2544001097140858,Negative
43,1964-07-01,42,2.1787450748457355,Negative
44,1964-08-01,43,3.8162500138557434,Negative
45,1964-09-01,44,9.689591120135486,Negative
46,1964-10-01,45,2.653142663659319,Negative
47,1964-11-01,46,2.3031327044041596,Negative
48,1964-12-01,47,2.8258798565974033,Negative
49,1965-01-01,48,10.880791829566865,Negative
50,1965-02-01,49,2.838074846586173,Negative
51,1965-03-01,50,7.189101082873766,Negative
52,1965-04-01,51,3.208446653908363,Negative
